objectid,subject,filename,title,format,description,RULEDATE15,date,RULEMONTH,longitude,latitude,GCITY,GSTATE,location
mid001,History museums,mg101_b6_psychiana_photographs_001.jpg,HORSE & BUGGY MUSEUM,image/jpeg,,200705,2007,05,-90.8674,40.85526,BIGGSVILLE,IL,"BIGGSVILLE, IL"
mid002,History museums,mg101_b6_psychiana_photographs_002.jpg,NORRIS CITY COMMUNITY MUSEUM,image/jpeg,,201004,2010,04,-88.30259,37.97218,NORRIS CITY,IL,"NORRIS CITY, IL"
mid003,History museums,mg101_b6_psychiana_photographs_003.jpg,PECATONICA HERITAGE MUSEUM,image/jpeg,,199703,1997,03,-89.35041,42.30976,PECATONICA,IL,"PECATONICA, IL"
mid004,History museums,mg101_b6_psychiana_photographs_001.jpg,STOCKTON HISTORICAL MUSEUM,image/jpeg,,200010,2000,10,-90.02319,42.34563,STOCKTON,IL,"STOCKTON, IL"
mid005,History museums,mg101_b6_psychiana_photographs_002.jpg,BRUNK MORGAN HORSE MUSEUM,image/jpeg,,199509,1995,09,-89.58719,39.698,ROCHESTER,IL,"ROCHESTER, IL"
mid006,History museums,mg101_b6_psychiana_photographs_003.jpg,WATERLOO MUSEUM SOCIETY,image/jpeg,HTTP://MONROECOUNTYHISTORYMUSEUM.ORG,200009,2000,09,-90.16278,38.35592,WATERLOO,IL,"WATERLOO, IL"
mid007,History museums,mg101_b6_psychiana_photographs_001.jpg,LUCKEY HOSPITAL MUSEUM,image/jpeg,HTTP://LUCKEYHOSPITALMUSEUM.ORG/,200411,2004,11,-85.49476,41.33501,WOLF LAKE,IN,"WOLF LAKE, IN"
mid008,History museums,mg101_b6_psychiana_photographs_002.jpg,CIRCUS MODEL BUILDERS MUSEUM,image/jpeg,,200602,2006,02,-86.01213,40.75053,PERU,IN,"PERU, IN"
mid009,History museums,mg101_b6_psychiana_photographs_003.jpg,JIMTOWN HISTORICAL MUSEUM,image/jpeg,,199302,1993,02,-86.02444,41.62733,ELKHART,IN,"ELKHART, IN"
mid010,History museums,mg101_b6_psychiana_photographs_001.jpg,HAYDEN HISTORICAL MUSEUM,image/jpeg,,199109,1991,09,-85.73948,38.97982,NORTH VERNON,IN,"NORTH VERNON, IN"
mid011,History museums,mg101_b6_psychiana_photographs_002.jpg,FOUNTAIN COUNTY WAR MEMORIAL MUSEUM,image/jpeg,,199806,1998,06,-87.25211,40.11547,VEEDERSBURG,IN,"VEEDERSBURG, IN"
mid012,History museums,mg101_b6_psychiana_photographs_003.jpg,HENAGER'S MEMORIES & NOSTALGIA,image/jpeg,HTTP://WWW.HENAGERMUSEUM.COM/,199807,1998,07,-87.41006,38.22755,BUCKSKIN,IN,"BUCKSKIN, IN"
mid013,History museums,mg101_b6_psychiana_photographs_001.jpg,ANDY GRANATELLI MUSEUM AND HALL OF FAME,image/jpeg,,201202,2012,02,-85.03928,41.33873,AUBURN,IN,"AUBURN, IN"
mid014,History museums,mg101_b6_psychiana_photographs_002.jpg,FREEDOM HERITAGE MUSEUM,image/jpeg,HTTP://FREEDOMHERITAGEMUSEUM.ORG/,201401,2014,01,-87.60279,38.07355,EVANSVILLE,IN,"EVANSVILLE, IN"
mid015,History museums,mg101_b6_psychiana_photographs_003.jpg,OSGOOD HISTORICAL MUSEUM,image/jpeg,,200506,2005,06,-85.29157,39.12991,OSGOOD,IN,"OSGOOD, IN"
mid016,History museums,mg101_b6_psychiana_photographs_001.jpg,NORTHPORT AREA HERITAGE ASSOCIATION,image/jpeg,,200405,2004,05,-85.61073,45.11994,NORTHPORT,MI,"NORTHPORT, MI"
mid017,History museums,mg101_b6_psychiana_photographs_002.jpg,SOUTHWEST MICHIGAN CRATE AND BASKET AND VENEER MACHINERY MUSEUM,image/jpeg,,200209,2002,09,-86.38084,42.18298,RIVERSIDE,MI,"RIVERSIDE, MI"
